UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
SP,SAO PAULO,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,2078015,3372
DF,BRASILIA,HRAN,10464,2184
SP,SAO PAULO,HOSPITAL SANCTA MAGGIORE,9131434,1991
SP,SAO PAULO,HOSPITAL SANTA MARCELINA SAO PAULO,2077477,1715
MT,LUCAS DO RIO VERDE,HOSPITAL SAO LUCAS LUCAS DO RIO VERDE,2767953,1312
CE,FORTALEZA,CENTRO DE ONCOLOGIA LEONARDO DA VINCI,7692595,1310
SP,SAO PAULO,HOSP STA MAGGIORE BELA VISTA,2084341,1259
SP,SAO PAULO,HOSPITAL E MATERNIDADE SALVALUS,9554157,1241
SP,SAO JOSE DO RIO PRETO,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,2077396,1226
MT,PRIMAVERA DO LESTE,SECRETARIA MUNICIPAL DE SAUDE DE PRIMAVERA DO LESTE,2674971,1213
CE,FORTALEZA,HGF HOSPITAL GERAL DE FORTALEZA,2497654,1172
MT,SORRISO,SECRETARIA MUNICIPAL DE SAUDE DE SORRISO MT,2533820,1166
SP,SAO PAULO,HOSP MUN M BOI MIRIM,5718368,1134
SP,SAO PAULO,HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,2058502,1090
AM,MANAUS,HOSPITAL E PRONTO SOCORRO DA ZONA NORTE DELPHINA AZIZ,7564546,1081
PE,RECIFE,REAL HOSPITAL PORTUGUES,1120,1046
PA,BELEM,HOSPITAL DE CAMPANHA COVID 19 BELEM,103284,1022
SP,SAO PAULO,HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38,102083,1015
MT,CUIABA,SECRETARIA MUNICIPAL DE SAUDE DE CUIABA,2393735,986
SP,SAO PAULO,HOSPITAL BP,2080575,975
SP,SAO PAULO,HOSPITAL SANTA CATARINA,2688603,947
BA,SALVADOR,INSTITUTO COUTO MAIA,5428,935
CE,SOBRAL,HOSPITAL REGIONAL NORTE,6848710,893
CE,FORTALEZA,HOSPITAL REGIONAL UNIMED,3242587,890
SP,SAO PAULO,HOSPITAL ISRAELITA ALBERT EINSTEIN,2058391,874
PR,CAMPO LARGO,HOSPITAL DO ROCIO,13846,867
MS,CAMPO GRANDE,HOSPITAL REGIONAL DE MATO GROSSO DO SUL,9725,864
PB,SANTA RITA,HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES,9467718,846
SP,SAO PAULO,UPA III NOVA CAMPO LIMPO,7479387,840
SP,JUNDIAI,HCSVP HOSPITAL SAO VICENTE HOSPITAL DE CAMPANHA COVID 19,2786435,826
RJ,RIO DE JANEIRO,HOSPITAL QUINTA DOR,3034984,812
RS,PORTO ALEGRE,HOSPITAL NOSSA SENHORA DA CONCEICAO SA,2237571,811
