UF;Municipio;Unidade;Notificações
SP;SAO PAULO;HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;3372
DF;BRASILIA;HRAN;2184
SP;SAO PAULO;HOSPITAL SANCTA MAGGIORE;2069
SP;SAO PAULO;HOSPITAL SANTA MARCELINA SAO PAULO;1715
MT;LUCAS DO RIO VERDE;HOSPITAL SAO LUCAS LUCAS DO RIO VERDE;1312
CE;FORTALEZA;CENTRO DE ONCOLOGIA LEONARDO DA VINCI;1310
SP;SAO PAULO;HOSP STA MAGGIORE BELA VISTA;1259
SP;SAO PAULO;HOSPITAL E MATERNIDADE SALVALUS;1241
SP;SAO JOSE DO RIO PRETO;HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;1226
MT;PRIMAVERA DO LESTE;SECRETARIA MUNICIPAL DE SAUDE DE PRIMAVERA DO LESTE;1213
CE;FORTALEZA;HGF HOSPITAL GERAL DE FORTALEZA;1172
MT;SORRISO;SECRETARIA MUNICIPAL DE SAUDE DE SORRISO MT;1166
SP;SAO PAULO;HOSP MUN M BOI MIRIM;1134
SP;SAO PAULO;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;1090
AM;MANAUS;HOSPITAL E PRONTO SOCORRO DA ZONA NORTE DELPHINA AZIZ;1081
PE;RECIFE;REAL HOSPITAL PORTUGUES;1046
PA;BELEM;HOSPITAL DE CAMPANHA COVID 19 BELEM;1022
SP;SAO PAULO;HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38;1015
MT;CUIABA;SECRETARIA MUNICIPAL DE SAUDE DE CUIABA; 986
SP;SAO PAULO;HOSPITAL BP; 975
SP;SAO PAULO;HOSPITAL SANTA CATARINA; 947
BA;SALVADOR;INSTITUTO COUTO MAIA; 935
CE;SOBRAL;HOSPITAL REGIONAL NORTE; 893
CE;FORTALEZA;HOSPITAL REGIONAL UNIMED; 890
SP;SAO PAULO;HOSPITAL ISRAELITA ALBERT EINSTEIN; 874
